Season,Commentor page,Account Name,Time commented,Episode,Comment,Likes,yt-core-attributed-string 2,yt-core-attributed-string 3
1.0,https://www.youtube.com/@sl11tenderhand,@sl11tenderhand,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwCgNiHw4Z-2FcDL354AaABAg,Peter Jones is a literal giant,3,Reply,
1.0,https://www.youtube.com/@Z_A0099,@Z_A0099,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzJpgVeIIJBfA70TEF4AaABAg&pp=0gcJCSIANpG00pGi,when Jenny says she would've invested but now she's out,5,Reply,
1.0,https://www.youtube.com/@jaynishah2928,@jaynishah2928,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz7wP74rKUA-9k8VfV4AaABAg,I didn’t realise Jen Barber from the I.T Crowd was a dragon.,11,Reply,1 reply
1.0,https://www.youtube.com/@nanda_8,@nanda_8,3 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugx_T0XLUakrp8QrfBl4AaABAg,I think Peter can smell future multi millionaires,2,Reply,
1.0,https://www.youtube.com/@fosfeen,@fosfeen,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugy0O_z--Z4iIOO9KOh4AaABAg,"Wow, Ryan moves to the UK and pivots from paper to magazines.",12,Reply,
1.0,https://www.youtube.com/@caitlinx3816,@caitlinx3816,3 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz5nu4761QsnUWjEtB4AaABAg,By far the most successful investment Peter has ever made,2,Reply,
1.0,https://www.youtube.com/@boneyarsebogman,@boneyarsebogman,5 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxSdrWquno-HUg55JN4AaABAg,"That was such an incredible renegotiation on the part of Peter Jones. Reducing the girls % stake, but offering her share incentives may actually mean she earns so much more potentially, so it really became a win win situation, seemingly in the matter of a few moments. Extraordinary!",20,Reply,4 replies
1.0,https://www.youtube.com/@itsmenattyZ,@itsmenattyZ,1 year ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugy7y1bxux6bYIct1oN4AaABAg,Peter Jones has a brilliant mind.,2,Reply,
1.0,https://www.youtube.com/@prateeksuresh9758,@prateeksuresh9758,5 years ago (edited),https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzxoT19PyHXxCkAGY94AaABAg,"‘I’m not going to be the 4th fool and I’m not going to invest in your business’ either way, you became a fool by refusing this investment",63,Reply,5 replies
1.0,https://www.youtube.com/@craigpardy6204,@craigpardy6204,4 years ago,https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxWklfcW0o5nFZzaf94AaABAg&pp=0gcJCSIANpG00pGi,"Peter ""I'll take the car, house and shirt off your back"" Jones..",2,Reply,
