Season,Commentor,Time Commented,Comment
2,@rockstarprashantpanth1545,2 months ago,"I can hear Their voices, please increase more background music Sony and Shark Tank so we can't hear Pitchers and enjoy your music more"
2,@banlyngdoh94,2 years ago,Namita is just am out... Dont deserve that seat
2,@vaibhavthathola1850,1 year ago,Most of these startups will close in a year
2,@bansal6370,2 years ago,He look like Rohit Sharma totally Puzzel
2,@bholenathmahadev111,2 years ago,Nahi Aman ne sahi bola ki ye amiro k chochle hn
2,@walia3523,2 years ago,I am out vinita per jchta h
2,@Atanu_Adhikary,1 year ago,Namita:
2,@Deepakkumar-tz6tj,1 year ago,Bhai  lake release krye vedio ye Sony wale jabki ashneer h hi nahi abki bar is season me
2,@storeofstory7800,2 years ago,"Namita khali khate hi gaye, investment karna padega mam"
2,@The_Gupta,1 year ago,Bro glt Italian boli starting main
2,@Kubecr,1 year ago,"I swear this namita everytime finds something a excuse which is ridiculous, it seems like she is trying to nitpick from the get go to look for a way to not invest , she should probably stick with ""expertise nahi ha"" atleast that way she is saying true Rather then giving a BS feedback to the entrepreneur and also demotivating him."
2,@ALLDRAMASCHANNEL,1 year ago,"Ameeron ke chonchlay tou nahi hai yeh cheese ... kuch bhi bolta hai aman ️ 
 bholu founder cutie"
2,@sindhu-x9e,2 years ago,Namita is out. Always.
2,@vinayvy1495,2 years ago,Dosa nahi hey Bhai....Dose...
2,@SaurabhSrivastava-s2r,1 year ago,navgati is a hindi word meaning innovation.
2,@koyelbasu8082,1 year ago,350-355₹ middle class family main ek cheese kharidne ke liye bohot hi mahenga hain and wo kharide vi nhi
2,@aJ.13,2 years ago,"After electric cars arrive, their business is done"
2,@maheshchalva1796,2 years ago,"Every pump is connected to automation now a days ,with companies monitoring on real time basis the traffic and the dispensation data,unit wise ,"
2,@dvd-deciusvideosdaily5030,3 months ago,AMIT JAIN
2,@ALLDRAMASCHANNEL,1 year ago,deal close hui thi 66 lakh 3% equity ... galat show kar rahe ho sony bhai
2,@AshishSingh-ec2sb,1 year ago,"Namita's all time dialogue
For that reason I'm out"
2,@Riponsk-hv1td,1 year ago,Ye burrata aur gandata iise accha guun khalo freeze karke
2,@abdulsami3750,2 years ago,pov ashneer hates shark tank but they still use jis mame as hashtag
2,@AjaySingh-kt3le,2 years ago,"Amit aye the for closing, dikhe ni"
2,@pt.anupamtrivedi5598,1 year ago,Out out out out namita
2,@shivamchoubey3735,1 year ago,I dont know why they have introduced Namita in shark tank. She is out for 90% proposals for non relavent reasons. She only chooses 5-10 cr valuation if she agree at all.
2,@tmwork5424,1 year ago,Yar Sameer deal mil jatay agar aap kehty Kay ye rent a car Ka business hai subscription based short term and long term both options are available.
2,@AkhlimaKhatun-s5j,2 years ago,"Pata nhi Kyu namita avi tak shark hai... Jabki har pitch pe ye same dialogue marte h ki "" Ye jo business hai ispe meri expertise nhi hai  for that reason I AM OUT"""
2,@sushantabiswal1644,1 year ago,"Sir ji main chota sa sachet clinic plus big market, Tresemme bhi sir agaya na price maine nahin rakhta ,Sachet ka price 4,6 rupees main bhi log kharid te Hain.Unpredictable  plays major role."
2,@MuhammadBilal-ek4xx,2 years ago,Ab Subcontinent badal raha hai
2,@rohitbugdane6417,2 years ago,Broing
2,@osamaejaz-k9r,1 year ago,If you know he cant invest in these type of companies why not add a shark who can actually consider. Piyush probably
2,@debojeet1993,1 year ago,"The vision of Nawgati is good as far as it's Aweg dashboard is concerned but as Anupam said if they don't capture a huge customer base in quick time and if they don't protect this ""tech"" Of theirs, they will we swallowed by the same government fuel companies that they are catering to or eyeing to cater"
2,@lionsher4951,1 year ago,Anupum mathematics is very sharp
2,@noquestions7443,1 year ago,Bhai uss ne woh 3 min me yeh bola hota ki Ek hi model puri life kyun chlaye why not try new model every 3 years and enjoy difference and change in life rather then stuck to something & make a long term commitment with one vehicle
2,@adeelstoryworld,1 month ago,Namita: I have to go home so I am out.
2,@MKs_vibeslayed,2 years ago,bro so good
2,@nishatamanna9621,1 year ago,are you skipping namita part as you Knew the result?
2,@kahaniokipathsala9681,2 years ago,Lenckart ka ad band karo
2,@NasirKhan-vj8mi,9 months ago,Kis angle sa lagta hai yeh nawgati ke 3founder 23saal ka hai atleast 30 ka toh lagtay hai
2,@IT_AMAN_TECH,1 year ago,Bhaiya Age Kitna Chupate Hai !  seedha 5-8 Saal chota hi btate hai khud ko ...
2,@aaveshqureshi3916,1 year ago,Request for you tube can u skip Namita comments...
2,@justicek4527,1 year ago (edited),There is no such thing as fresh cheese. The cheese has to be aged for full flavor. I don't know why Namita is raising that point.
2,@ashwinikumar6373,1 year ago,maine boat ka product use kia hai but unka quality bohut poor hai.
2,@the.english.channel.,1 year ago,The music is sooooo irritating!!
