"style-scope src","style-scope","yt-simple-endpoint href","Account name","yt-simple-endpoint href 3","yt-core-attributed-string","style-scope 3"
"https://yt3.ggpht.com/zH7w2J6aM7npAzMONuydVtVWp5_ar5xuX1srm0vLq80IFmyuagEREDjKLBMqc6ZPDBMP4x9S=s88-c-k-c0x00ffffff-no-rj","@sherwooddejavu","https://www.youtube.com/@sherwooddejavu","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgylAcErL6iMSnG-O854AaABAg","Jenny: “I don’t have money to burn, so for that reason I’m out.”","161"
"https://yt3.ggpht.com/qXMlT1_W49u1Hp2gjhvD2x8VEVtAFmQTDhihTmwKFkh9bGbGGVjROKztFauuklI8iE-yqHvk90E=s88-c-k-c0x00ffffff-no-rj","@jaydarklighter1989","https://www.youtube.com/@jaydarklighter1989","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxpYnjyZbrbPSDZkHR4AaABAg","""Hey Dragons my name's Tom, and this is Mark, and we've always wanted to start something together -""


""How about a marriage? You'd be more profitable riding each other than that bicycle""","136"
"https://yt3.ggpht.com/41JphKm9IDxT8qfwiL0LkNlkwdOjmlDWYpwjFUpmtzZuuAWjEHe5N21TPSTu44VozB3HeMCm=s88-c-k-c0x00ffffff-no-rj","@LanceODoherty5905","https://www.youtube.com/@LanceODoherty5905","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyccXXhdSX4qFKAV354AaABAg","Don’t know why touker entertained that, knowing he doesn’t get out of bed for 2%","49"
"https://yt3.ggpht.com/ytc/AIdro_nH5NtGixv5Cu-PE8Tn1KG94cuLd6DXgNAvHGISKwionCc=s88-c-k-c0x00ffffff-no-rj","@melsyoutube","https://www.youtube.com/@melsyoutube","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyZgwR1VGTCHEDR4WN4AaABAg","been binging these clips for almost a year, and the Jenny jokes still flood the comments. I wonder if she knows how much of an impact she's had by doing nothing","466"
"https://yt3.ggpht.com/ytc/AIdro_kEgMvz54tuVgLYbv2TnXLsCfNC6VLXW0PA2yWoVy5RlPA=s88-c-k-c0x00ffffff-no-rj","@roko123gold","https://www.youtube.com/@roko123gold","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgydOR_ZQQTqSPXjxLV4AaABAg","“Mark and I have been friends for years”
Deborah:*takes notes","40"
"https://yt3.ggpht.com/ytc/AIdro_k2DwmIynW1UMf44UfIkQnrBn7k0v3hRwk5XGg8jytLYYE=s88-c-k-c0x00ffffff-no-rj","@duncanbannatyne2627","https://www.youtube.com/@duncanbannatyne2627","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugw-9oUUC_w9y76kHhF4AaABAg","Tandems are for poor people who can't afford to purchase 2 bikes.","215"
"https://yt3.ggpht.com/ytc/AIdro_lwK8gxAaUNsNLINaj5q8Jz8m0g2fOaxtKnjzc3cEmsBQ=s88-c-k-c0x00ffffff-no-rj","@21ADB21","https://www.youtube.com/@21ADB21","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxDQUqTJVoTd4p5wnl4AaABAg","Business Owner: ""My business makes a profit of £100MN a week, I have found God and want to now live a basic life in the woods, I am offering my entire business for £1.00""

Jenny: ""I'm not a cyclist, I'm out""","180"
"https://yt3.ggpht.com/ytc/AIdro_kInFw3mbVWSNbS1wdwDQ_yPI8KzdrtgX9cJg_rFWAM7eMB_QdMd-WSy18jcjrvnW22Fg=s88-c-k-c0x00ffffff-no-rj","@hardcore353","https://www.youtube.com/@hardcore353","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgxCBvKwbnO9rBOi_Fx4AaABAg","Any one else watch this on their lunch breaks ?","116"
"https://yt3.ggpht.com/b6WXYKngJsM0C_JPzkrSrsZev55HkBWy9rrAbW9YGjM3B_WB-qd_phHFBzjI-fm4AoC9pAXXTu8=s88-c-k-c0x00ffffff-no-rj","@qandagha_Niy","https://www.youtube.com/@qandagha_Niy","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwlTaqdP7TIyJqYAdV4AaABAg","£99 for a compose that does not function properly. get back on that lift","154"
"","@Owen02_","https://www.youtube.com/@Owen02_","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwZ95dZeXNTkxswZSV4AaABAg","If you are gonna come here early and say ‘first’ at least say ‘first into the den’","40"
"https://yt3.ggpht.com/HMoQX2p790H3LU8mYpMp2hW6aeHZB_-hh8l3RmLxOjO7LVMZUIG7poi6ka4q3xvSUzVu5yESEQ=s88-c-k-c0x00ffffff-no-rj","@kailetto","https://www.youtube.com/@kailetto","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyrzbwqvyUlC2APQd54AaABAg","- best joke ever uttered on this show! xD","41"
"https://yt3.ggpht.com/ytc/AIdro_msUAv6meSHRu6ChorCKUAjyxJ-VbTeinoKt-RMTP3925Y=s88-c-k-c0x00ffffff-no-rj","@Pat2296","https://www.youtube.com/@Pat2296","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgyIEHRtgn13GzrYlJB4AaABAg","I really wanted to know exactly what they spent that fortune on.","39"
"https://yt3.ggpht.com/ytc/AIdro_no7FeCz4FkpPM6HEGtTatYURD8JbAeczzOw2NYXGehleA=s88-c-k-c0x00ffffff-no-rj","@domlipski5226","https://www.youtube.com/@domlipski5226","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwG-FAgj-h08HeZ9HB4AaABAg","Jenny: I'm interested.
Entrepreneur: Really???
Jenny: Yes, can I look at the device?
Entrepreneur: Of course. * Hands device to Jenny *
Jenny: Thank you...






I'm out. * Uses device to navigate out the door *.","66"
"https://yt3.ggpht.com/ytc/AIdro_nzNf-6YtquQ5FtVbUmRo2uZcT1NLTjILkgsk6H0hcLpw=s88-c-k-c0x00ffffff-no-rj","@jamieangel3766","https://www.youtube.com/@jamieangel3766","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=Ugyp90scwp39ftAR8KZ4AaABAg","I want Tej's eyelashes, they're better than mine and I'm female.","32"
"https://yt3.ggpht.com/ytc/AIdro_lVw_UEkk7YKzaq364tg_RExwdAN_einYLydEsxvuNTlg=s88-c-k-c0x00ffffff-no-rj","@Sulfen","https://www.youtube.com/@Sulfen","5 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwHi-IYLIHfG3ycPi54AaABAg","The Apple Watch pretty much kills this product.","14"
"https://yt3.ggpht.com/ytc/AIdro_lmoChOAYMEtUK2OyoWbyl0d9X394FucRL6RoVntlJ53Vw=s88-c-k-c0x00ffffff-no-rj","@halfpenguinhalflego","https://www.youtube.com/@halfpenguinhalflego","6 years ago","https://www.youtube.com/watch?v=xmEOJo8qaC8&lc=UgwFZ976RhjNJMwgc4t4AaABAg","Anyone else not surprised when Jenny said ""I'm not a cyclist.""?","9"
