"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 2","yt-core-attributed-string 3"
"https://yt3.ggpht.com/WRWXBUUZdRU-20KPPZMqQwU6OEKGRWfvrbG4x52E71izHyOFBHHZpzD-npHvJw89eqPEcpDFkYg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Itsrorythough","@Itsrorythough","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxn3Ni8XfxLjEXzh5N4AaABAg","Got to hand it to the guy he’s not a quitter and it’s people like him that win.","47","Reply",""
"https://yt3.ggpht.com/ytc/AIdro_kdFtvsmHwOIpNGzgW_DvXJh6weiUIgWneUeLATur1AIg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@jahswinonoh5351","@jahswinonoh5351","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgzfW0Tt3EJRZNyDAhh4AaABAg","update: Wonderland Magazine is now worth $220M in 2021","350","Reply","25 replies"
"https://yt3.ggpht.com/QUw9DUx9DDRibTghhhYNMpxEx9Zsqpn4Dit2lbhsco-DWz0XE7kGqfuOKm-HT9TFFIgfj8aP1Ns=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@93deadpool","@93deadpool","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxHwTSLSDvvwBCR_2R4AaABAg","Simon was unnecessarily rude towards this man.","154","Reply","6 replies"
"https://yt3.ggpht.com/ytc/AIdro_nPd0G856ekBVwHYLlsjuzIADBg4Br_9avlrV33t76oY34=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@blakegriggs2423","@blakegriggs2423","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwS8ig-N9TBTifgZ3d4AaABAg","stlll up and running! same slogan "" challenge inform and entertain""","175","Reply","7 replies"
"https://yt3.ggpht.com/ytc/AIdro_m1JWtV5dUcmbNGWvN45hlyQVZu3fX3QHrWdw3LdVH8cdo=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@francissaunders4050","@francissaunders4050","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxU68MyLRc-BOcHYNZ4AaABAg","Isn't it hysterical that Simon asked everyone ""have you heard of V magazine?"" And then describes people as ""fools."" I don't know what to laugh at more, Simon's ignorance or his sideburns","84","Reply","2 replies"
"https://yt3.ggpht.com/ytc/AIdro_ldkNDRKCAGB67y3DLrx6wccya_XFudKRZeirzyRwRhqw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@vader745","@vader745","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwxzZch94lS73yVKW14AaABAg","Peter showed here why he's the best dragon hands down!","20","Reply",""
"https://yt3.ggpht.com/ytc/AIdro_m36Y0P79PaM7yv1k_NbjK9w3aXuS_0by6AMn300qrPnw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@blendcollopeku123","@blendcollopeku123","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgygYW7xpSINF6yXAlp4AaABAg","What the hell did I just witness?!!!!! This guy was the best entrepreneur I saw in the Den so far!","22","Reply",""
"https://yt3.ggpht.com/ytc/AIdro_m9h4DGmQHrawNlgl4SMYwPeZ4Wq-p4D19Qi7gPbKc=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@andreflavell2689","@andreflavell2689","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxffVY9BqzxpZo9Y9V4AaABAg","Peter Jones is a true businessman unlike the others that can’t see quality when it’s front of them .","91","Reply","2 replies"
"https://yt3.ggpht.com/SW-iuxYGHdc5gjKqGk03FhcFhW9ROLx0FJStA6Q_TypIK05jXM8lxSfMkcvr4UvVlPzE9B71xQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@moosesnWoop","@moosesnWoop","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwhSwDACiTagGil6VV4AaABAg","This dude probably was one of the last publishers to pitch for a viable investment in print media - by 2010 Digital media definitely overtook print. They seem to have an online magazine as well, dude seemed to have the chutzpah to get it done; which is probably what Peter was attracted to more than the print media itself.","32","Reply","3 replies"
"https://yt3.ggpht.com/ytc/AIdro_k9bs1hFEtUKkhePZory-LqQVqo3CsU7EXqa4HUVzTxLXE=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@karlosjeffers4791","@karlosjeffers4791","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugw8Gg-3Qu_aHVaXJTp4AaABAg","So in conclusion Simon Woodroofe declared Peter Jones “a fool”","99","Reply","3 replies"
"https://yt3.ggpht.com/ytc/AIdro_mMw5ZYtbL6f6cnZJJHjmD5Npq5mFLaZwsOZMcHsNg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@DevonDandy","@DevonDandy","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugz2JPYT980hewdOMF94AaABAg","Peter Jones negotiating options , thought up on the hoof here, were quite brilliant, no wonder he is so successful.","114","Reply","6 replies"
"https://yt3.ggpht.com/ytc/AIdro_nKGkyf1xSOIowfw_WrpwOvDQD7i3R2xA70RJ6pO_0wqXL7=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@aebimomi","@aebimomi","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyPzXtrQSeL9IeVHiV4AaABAg","My hat off to Peter Jones. He is a businessman to the core and truly knows what he's doing and knows when he's hit a diamond in the rough. Very brilliant, very intelligent and with an unusual insight. It's no surprise he is so successful.","106","Reply","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_mUc4WxdZbXBeIWvEE_ghFB9AHzhk9oTEt-gzu2p0U=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ginolandrot2729","@ginolandrot2729","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwD9zZyazrO8oznPw14AaABAg","From a 2016 article 

""Huw Gwyther is the Editorial Director and founder of not one, but three of arguably fashion’s hottest titles: Wonderland, Rollacoaster and Man About Town. Since appearing on Dragon’s Den in 2005 and securing Dragon Peter Jones as an investor, Gwyther has continued to deliver on his magazine dream and is now considered a leading figure in publishing…""","226","Reply","9 replies"
"https://yt3.ggpht.com/ytc/AIdro_mGWVz6a4S3cdq-QBRWbkrg_9c7t1T9hVAr6qSwJeNYzryH=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@shawnmcdoge2215","@shawnmcdoge2215","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgytVgGwG337EeQcOkl4AaABAg","I thought it was Ryan from the  Office at first.....","87","Reply","7 replies"
"https://yt3.ggpht.com/ytc/AIdro_nWBnrwPyVKAjZDlBfFFzWm1AihzaalEkJeTxTCXzVI87cy=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@tamikagreen1119","@tamikagreen1119","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=Ugxwwg4RudM3O2wlRL94AaABAg","I didn't think any dragon would invest in something like this. It wasn't even set up, it was a concept.","14","Reply","2 replies"
"https://yt3.ggpht.com/UUWTyV-J0RQkG-V8C5dkNh1EaJsjC2E9QUvL9CEF9xPGFcO0UHw9u-58VPFlaS3Bh-tE02y4gw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@zoeyelh","@zoeyelh","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgysVQsW2JYUmlqWY8N4AaABAg","wonderland magazine is a success, last year featuring kim kardashian on the cover. peter jones is still a shareholder","554","Reply","34 replies"
"https://yt3.ggpht.com/ytc/AIdro_kn92S3KXg-2hfNwMrKDpQWLEb4QtzRQTQ1atf0Tax3qQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@elastronaute1198","@elastronaute1198","4 years ago (edited)","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyBPeoHsUJjHCAnG194AaABAg","This magazine is one of the biggest successes ever in dragons den. By the companies valuation this year (£220 million), assuming he's not been bought out which he probably has, Peter Jones's stake would now be worth £88 million for his £175,000 investment. (508.2x)","12","Reply",""
"https://yt3.ggpht.com/ytc/AIdro_lCPCpjtrAPf-7ZM8hHqktHRIJeNJASLAXoJZubjFrOsA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@sirrazma238","@sirrazma238","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwHGGpvvBJK2dFZocx4AaABAg&pp=0gcJCSIANpG00pGi","Douglas Richard: ""The models in this magazine are too old for my liking. I'm out.""","360","Reply","19 replies"
"https://yt3.ggpht.com/ytc/AIdro_lvBFcJM4E4V5WkIo_GgFnMZAunMM_8sBdg57mwW1OJOz8=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@imnotmattdamon","@imnotmattdamon","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwPK16pMncu4EwZs4t4AaABAg&pp=0gcJCSIANpG00pGi","I think sometimes as an investor, you need to realise no matter how saturated a market is, when the right kind of determined guy comes along, he will be able to cut a very profitable piece out of it. Even though the other dragon's arguments were valid, i feel Peter Jones recognised this. He was investing in the person, moreso than in the brand. Great clip!","154","Reply","11 replies"
"https://yt3.ggpht.com/ytc/AIdro_lulGKEiiQOvY1UQ9mO0IiwyUHdQa1h18qs7pex6yg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JL-gf3yc","@JL-gf3yc","1 year ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgxScnot_qQL5k9e6tB4AaABAg","Doug was just sad there were no children in the magazine","7","Reply",""
"","https://www.youtube.com/@keegs1163","@keegs1163","4 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwVQvXEsTBRQ9hmD5Z4AaABAg","He was easily the most eloquent and intelligent businessman I've seen on dragons den. I'm so surprised more people didn't jump on this, especially considering all he needs is PR and Dragons Den is exactly that.","10","Reply",""
"","https://www.youtube.com/@cekojuna6930","@cekojuna6930","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgwoP1BsvL4aCxRhQgl4AaABAg","Peter really gave good advice to the entrepreneur, while maintaining his equity.","10","Reply","2 replies"
"","https://www.youtube.com/@davideinzani909","@davideinzani909","5 years ago","https://www.youtube.com/watch?v=2gi_p37mFFQ&lc=UgyOKiEXiOyfvajVXxB4AaABAg","This guy was seriously impressive.Deserves all the success in the world......Perfect pitch.","22","Reply",""
