"style-scope src","yt-simple-endpoint href","style-scope","Account name","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3","yt-core-attributed-string 4","yt-core-attributed-string 5"
"https://yt3.ggpht.com/ytc/AIdro_nGYNkhF4ZBHZVBe4DXtmZNSz9GKghJK7Hv0PmxzdIj2Y0=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@royfr8136","@royfr8136","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=Ugz0Ee6oUVXN0Vc7ZsV4AaABAg","'My sisters boy friend'..... soon to be mine","3","","",""
"https://yt3.ggpht.com/ytc/AIdro_k6EXZg0BLlKBl4G6ThHcyqFOCfTo2pPy3bnVBub7Csmeo=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@oxymoron02","@oxymoron02","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgxNjEe563QE1sTiOuZ4AaABAg","He asked about their relationship in such an awkward way; dude's blatantly looking to check if she's single.","96","8 replies","8 replies","8 replies"
"https://yt3.ggpht.com/ytc/AIdro_lowkTU8LfPrKUMvN5xEcHceHKqvl3vgCN_JuomNyJVaA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@robbiepoohify","@robbiepoohify","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgzKyIcYfUevv6wYJ3d4AaABAg","Right now, on the east coast of Scotland, Rory is looking for Seaweed.","42","5 replies","5 replies","5 replies"
"https://yt3.ggpht.com/ytc/AIdro_n3c_QsqjPxpey5CHRTIBUtBR498S-aH6GhoWn2o1_-7M4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@oscarrodwell3293","@oscarrodwell3293","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgxpTokBYCp_iABtZ1R4AaABAg","Peters entire investment portfolio appears to consist of:
Jessops
Levi Roots Carribean Sauce","36","5 replies","5 replies","5 replies"
"","https://www.youtube.com/@NoahMcleany","@NoahMcleany","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgxUkzO309VNiUbM4ZN4AaABAg","Say what you will about Jenny but at least she leads up to her “I’m out” with some fanciful bullshit. Kelly just mumbles her way out.","33","","",""
"","https://www.youtube.com/@8shounak","@8shounak","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgzWkCWxVKm0wbHiYzd4AaABAg","Kelly never invests. Haven't seen her invest yet in any of the episodes. She's just here to reject pitches","11","","",""
"","https://www.youtube.com/@nigelwilliams9307","@nigelwilliams9307","2 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=Ugwt7dNPcHvwv7MoKhd4AaABAg","So the guy was pitching with his girlfriend's sister? A very dangerous situation that the dragons didn't pick up on. And you can bet they went to a hotel room after this!","2","","",""
"","https://www.youtube.com/@therealchocolatebrownie","@therealchocolatebrownie","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgziZuDPr396qsBZdfh4AaABAg","For a moment, I thought Vision was pitching to the dragons","28","1 reply","1 reply","1 reply"
"","https://www.youtube.com/@Drenwickification","@Drenwickification","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=Ugw2bIFM794hOA4p0iV4AaABAg","""So, what's the point of these?"" Lol i love how duncan just gets to the point","28","","",""
"","https://www.youtube.com/@remchaill9898","@remchaill9898","4 years ago","https://www.youtube.com/watch?v=EAXjODN-Rfg&lc=UgxZ0EFO8csq5-X3Ful4AaABAg&pp=0gcJCSIANpG00pGi","I saw a movie where a guy formed a business partnership with his brother's girlfriend. It ended in a bloodbath that left none of them alive.","28","1 reply","1 reply","1 reply"
